Filename,Subgraph,Sentence
1.csv,<S> <H> Chickens <POS> <T> Eggs <H> Eggs <POS> <T> Chickens <H> Chickens <POS> <T> Road crossings <H> Road crossings <NEG> <T> Chickens <E>,"More chickens lay more eggs, which hatch and add to the chicken population. The more chickens, the more road crossing they will attempt. If there is any traffic, more road crossings will lead to fewer chickens. "
10.csv,<S> <H> desired level of security <POS> <T> security gap <H> security gap <POS> <T> security guard size <H> security guard size <POS> <T> guard force power <H> effectiveness <POS> <T> guard force power <H> guard force power <POS> <T> power adequacy <H> needed power <NEG> <T> power adequacy <H> power adequacy <POS> <T> security <H> security <POS> <T> perception of security <H> perception of security <NEG> <T> security gap <E>,"In the redundancy solution, when people perceive a gap between the desired level of security and the current level, they go on hiring and deploying more guards, which causes the guard force power to increase. By increasing the guard force power, without considering any other effect, the security rises and adjusts to the desired level. Thus, this dynamic solution suggests that we should continue deploying guards until we feel that security is at its desired level."
11.csv,<S> <H> Product attractiveness <POS> <T> Industry demand <H> Product attractiveness <POS> <T> Market share <H> Direct sales capability <POS> <T> Industry demand <H> Direct sales capability <POS> <T> Market share <H> Market share <POS> <T> Sakes <H> Advertising <POS> <T> Market share <H> Advertising <POS> <T> Industry demand <H> Revenue <POS> <T> Advertising <H> Revenue <POS> <T> Direct sales capability <H> Sales <POS> <T> Revenue <H> Industry demand <POS> <T> Sales <E>,"In most firms the advertising budget grows roughly as the company and revenue grow. Larger advertising budgets have two effects: (1) more potential customers are made aware of the product and choose to enter the market; (2) to the extent the advertising is effective, more of those who are aware and in market are likely to buy the product offered by the company. Similarly, the larger the revenue of the firm, the greater the sales budget. The more sales representatives, and the greater their skill and experience, the more calls they can make, the more time they can spend with customers, and the more effective their calls will be, increasing both total industry demand and the share of the total demand won by the firm."
12.csv,<S> <H> Deliveries <POS> <T> Inventory of cars on the lot <H> Orders to factory <POS> <T> Deliveries <H> Inventory of cars on the lot <POS> <T> Discrepancy <H> Discrepancy <NEG> <T> Orders to factory <H> Desired inventory <NEG> <T> Discrepancy <H> Perceived sales <POS> <T> Desired inventory <H> Perceived sales <POS> <T> Orders to factory <H> Inventory of cars on the lot <POS> <T> Sales <H> Sales <POS> <T> Perceived sales <H> Customer demand <POS> <T> Sales <H> Sales <NEG> <T> Inventory of cars on the lot <E>,"The car dealer needs to keep some inventory because deliveries and purchases don’t match perfectly every day. Customers make purchases that are unpredictable on a day-to-day basis. The car dealer also needs to provide herself with some extra inventory (a buffer) in case deliveries from suppliers are delayed occasionally. The dealer monitors sales (perceived sales), and if, for example, they seem to be rising, she adjusts orders to the factory to bring inventory up to her new desired inventory that provides ten days’ coverage at the higher sales rate. So, higher sales mean higher perceived sales, which means a higher discrepancy between inventory and desired inventory, which means higher orders, which will bring in more deliveries, which will raise inventory so it can comfortably supply the higher rate of sales."
13.csv,<S> <H> Budet <POS> <T> Salesmen hiring <H> Salesmen hiring <POS> <T> Orders booked <H> Orders booked <POS> <T> Backlog <H> Backlog <NEG> <T> Delivery rate <H> Delivery rate <POS> <T> Delivery rate average <H> Delivery rate average <NEG> <T> Budget <H> Delivery rate average <NEG> <T> Delivery delay <H> Delivery delay <NEG> <T> Sales effectiveness <H> Sales effectiveness <POS> <T> Orders booked <H> Delivery delay <NEG> <T> Production capacity ordering <H> Production capacity ordering <POS> <T> Production capacity <H> Production capacity <POS> <T> Delivery rate average <E>,"Here is a situation in which salesmen book orders followed by product delivery which generates revenue which produces the sales budget which permits hiring still more salesmen. In short, salesmen produce revenue to pay for the further expansion of the sales effort. Orders booked increase the order backlog which increases the delivery delay which makes the product less attractive and reduces the order rate.  The ordering of new production capacity is a function of delivery delay only. Rising order backlog, as indicated by delivery delay, is taken as an indication of inadequate capacity, and orders for more capacity are placed. These orders, after an acquisition delay, add to the production capacity.  As the delivery delay rises, production capacity is raised to bring down the delivery delay."
14.csv,<S> <H> Problem Introduction <POS> <T> Process Problems <H> Process Problems <POS> <T> Problem Correction <H> Process Problems <POS> <T> Defect Introduction <H> Defect Introduction <POS> <T> Defects <H> Defects <POS> <T> Defects Correction <H> Training and Process Experimentation <POS> <T> Problem Correction <H> Defect Introduction <NEG> <T> Net Process Throughput <H> Defect Correction <POS> <T> Net Process Throughput <H> Effort to Correct Defects <POS> <T> Defect Correction <H> Resources to Correct Defects <POS> <T> Effort to Correct Defects <H> Throughput Gap <POS> <T> Resources to Correct Defects <H> Net Process Throughput <NEG> <T> Throughput Gap <H> Throughput Gap <POS> <T> Worker Effort <H> Worker Effort <POS> <T> Gross Process Throughput <H> Gross Process Throughput <POS> <T> Net Process Throughput <H> Desired Throughput <POS> <T> Throughput Gap <H> Throughput Gap <POS> <T> Resources to Improve Process <H> Resources to Improve Process <POS> <T> Training and Process Experimentation <E>,"The rate of defect introduction is determined by the stock of process problem.... The stock of process problems is increased by problem introduction and reduced by problem correction... Because the stock of process problems determines the flow of defects, one process problem creates a continual inflow of defects, forever reducing net process throughput unless each and every defect is corrected....  The throughput gap [is] defined as the difference between desired net throughput and net process throughput... Large gaps indicate a strong need for corrective action... Workers and managers have several options they can use to regulate production... Net process throughput can be increased through greater worker effort, which directly boosts gross throughput and, given the defect rate (process yield), net throuhput... Managers can also alocate more resources to correct defects.... Instead of raising gross throughput by working harder, managers can allocate resources to improve the process, eventually increasing the rate at which process problems are discovered and corrected. As the stock of process problems falls, the rate of defect introduction drops, boosting net throughput and reducing the throughput gap. "
15.csv,<S> <H> Technologists' operating knowledge <POS> <T> Technologists' operating learning <H> Technologists' operating learning <POS> <T> Technologists' operating knowledge <H> Time to accumulate operating knowledge <NEG> <T> nan <H> Technologists' operating knowledge <POS> <T> Fraction that technologists know <H> Technologists' operating knowledge <NEG> <T> Doctors' knowledge relative to technologists <H> Fraction that technologists know <POS> <T> Fraction of operating decisions by technologists <H> Fraction of operating decisions by technologists <POS> <T> Technologists' operating learning <H> Doctors' knowledge relative to technologists <POS> <T> Fraction of new operating decisions by doctors <H> Fraction of new operating decisions by doctors <NEG> <T> Fraction of operating decisions by technologists <H> Doctors' operating knowledge <POS> <T> Doctors' knowledge relative to technologists <H> Doctors' operating knowledge <POS> <T> Percent that doctors know that technologists don't <H> Doctors' operating knowledge <NEG> <T> Doctors' operational learning <H> Percent that doctors know that technologists don't <POS> <T> Fraction of operating decisions by doctors <H> Fraction of new operating decisions by doctors <POS> <T> Fraction of operating decisions by doctors <H> Fraction of operating decisions by doctors <POS> <T> Doctors' operational learning <H> Doctors' operational learning <POS> <T> Doctors' operating knowledge <H> Time to accumulate operating knowledge <NEG> <T> Doctors' operational learning <E>,"Both doctors and technologists can learn more by doing more; they can accumulate more operating knowledge by making and executing decisions about conducting scans... We represented learning as an increase (inflow) to the knowledge accumulation, which integrates all learning that has occurred, and we chose not to represent forgetting or obsolescence of operating knowledge. [S]canning can be conducted either by  doctors or by technologists with doctor supervision... [T]he portion of operational decisions made by each actor depended on doctors' perceptions of their own and technologists' relative accumulation of  skill in operating the new CT machine. "
16.csv,<S> <H> stress stimuli <POS> <T> negative cognitive representations <H> stress stimuli <POS> <T> perceived stress <H> early adverse experiences <POS> <T> negative cognitive representations <H> negative cognitive representations <POS> <T> biased attention and processing <H> biased attention and processing <POS> <T> perceived stress <H> rumination <POS> <T> negative cognitive representations <H> dysfunctional behaviors <POS> <T> negative cognitive representations <H> encoding of negative thoughts <POS> <T> negative cognitive representations <H> brain regulatory capacity <NEG> <T> rumination <H> brain regulatory capacity <NEG> <T> negative affect / interpretation / processing <H> rumination <POS> <T> perceived stress <H> negative affect / interpretation / processing <POS> <T> rumination <H> perceived stress <POS> <T> negative affect / interpretation / processing <H> negative affect / interpretation / processing <POS> <T> encoding of negative thoughts <H> negative affect / interpretation / processing <POS> <T> dysfunctional behaviors <H> negative affect / interpretation / processing <POS> <T> deficiency of working memory <H> deficiency of working memory <NEG> <T> cognitive performance <H> cognitive performance <NEG> <T> dysfunctional behaviors <E>,"early adversity such as abuse or neglect of a child is processed and stored in the form of negative cognitive representations within an individual’s memory. Negative cognitive representations influence the way in which one attunes to stress stimuli, leading an individual to orient and maintain his/her focus on negative information. Negatively biased attention and processing increases one’s perceived level of stress which leads to negative affect such as sadness and biased interpretations of negative stimuli that often align with one’s negative mental models. The processing of negative thoughts and affect is encoded and stored in one’s memory, further strengthening existing negative cognitive representations. negative affect and interpretations intensify one’s propensity for ruminative thought which further compounds perceptions of stress and increases negative affect.  negative affect and interpretations contribute to dysfunctional behaviors and strengthen negative cognitive models. An example of this is the self perceptions of worthlessness and feelings of guilt one might experience after having shoved his/her partner during a heated argument. The dysfunctional behavior in this example intensifies the perception of oneself as worthless. Increased negative affect inhibits the efficiency of one’s working memory, leading to less optimal cognitive performance. Cognitive performance is weakened by impaired memory and sleep problems and further contributes to dysfunctional behaviors. Dysfunctional behaviors reinforce negative cognitive representations and lead to biased attentional processes, increased perceptions of stress, negative affect and interpretations, and further inhibit the efficiency of  working memory."
17.csv,<S> <H> Operations <POS> <T> Defect creation <H> Equipment quality <NEG> <T> Defect creation <H> Part quality <NEG> <T> Defect creation <H> Collateral damage <POS> <T> Defect creation <H> Reactive maintenance quality and productivity <NEG> <T> Defect creation <H> Planned maintenance quality and productivity <NEG> <T> Defect creation <H> Breakdown rate <POS> <T> Collateral damage <H> Reactive maintenance quality and productivity <POS> <T> Defect elimination through repair <H> Reactive maintenance effort <POS> <T> Defect elimination through repair <H> Breakdown rate <POS> <T> Reactive maintenance effort <H> Breakdown rate <NEG> <T> Plant uptime <H> Reactive maintenance effort <NEG> <T> Mechanics available for PM <H> Plant uptime <NEG> <T> Pressure to keep equipment running <H> Pressure to keep equipment running <NEG> <T> Takedown rate <H> Takedown rate <NEG> <T> Plant uptime <H> Takedown rate <POS> <T> Planned maintenance effort <H> Mechanics available for PM <POS> <T> Planned maintenance effort <H> Planned maintenance effort <POS> <T> Defect elimination through PM <H> Planned maintenance quality and productivity <POS> <T> Defect elimination through PM <H> Equipment defects <POS> <T> Takedown rate <H> Equipment defects <POS> <T> Breakdown rate <E>,"Defects are created by operations (normal wear and tear) and by collateral damage arising from breakdowns (when the oil leaks out of the pump bearing and the bearing seizes, the shaft may be bent, the motor may overheat, and the vibration may break couplings and pipes, introducing new problems).  The stock of defects is drained by two flows: reactive maintenance (repair of failed equipment) and planned maintenance (proactive repair of operable equipment). As equipment defects accumulate, the chance of a breakdown increases. Breakdowns lead to more reactive maintenance, and after repair, the equipment is returned to service and the stock of equipment defects is reduced. Similarly, scheduled maintenance or equipment monitoring may reveal the presence of latent defects. The equipment is then taken out of service and the defects are corrected before a breakdown occurs. Obviously, breakdowns reduce plant uptime. In addition, most planned maintenance activity also reduce uptime since planned maintenance frequently requires operable equipment be taken out of service so the needed work can be done. Breakdowns cause collateral damage, directly increasing the stock of defects further and leading to still more breakdowns in a vicious cycle. Because the total number of mechanics is limited, more breakdowns necessarily pull mechanics off planned work as management reassigns mechanics to repair work. With less planned work, breakdowns increase still more.  When plan uptime is low, operators are less willing to take working equipment down for planned maintenance. "
18.csv,<S> <H> Desired improvement of CQ <POS> <T> Improvement rate of CQ <H> Materialisation lag <NEG> <T> Improvement rate of CQ <H> intention lag <NEG> <T> Improvement rate of CQ <H> Improvement rate of CQ <POS> <T> Competitor's quality CQ <H> Competitor's quality CQ <POS> <T> Materialisation lag <H> Competitor's quality CQ <NEG> <T> Desired improvement of CQ <H> Quality devaluation <NEG> <T> Competitor's quality CQ <H> Competitor's perception of FQ <POS> <T> Desired improvement of CQ <H> Competitor's quality CQ <POS> <T> Firm's perception of CQ <H> Firm's quality FQ <POS> <T> Competitor's perception of FQ <H> Firm's quality FQ <POS> <T> Quality difference QD <H> Competitor's quality CQ <NEG> <T> Quality difference QD <H> Quality difference QD <POS> <T> Customer recognition of QD <H> Customer recognition of QD <POS> <T> intention lag <H> intention lag <NEG> <T> Improvement rate of FQ <H> Improvement rate of FQ <POS> <T> Firm's quality FQ <H> Quality devaluation <NEG> <T> Firm's quality FQ <H> Firm's quality FQ <POS> <T> Materialisation lag <H> Materialisation lag <POS> <T> Improvement rate of FQ <H> Firm's quality FQ <POS> <T> Desired improvement of FQ <H> Desired improvement of FQ <POS> <T> Improvement rate of FQ <H> Firm's perception of CQ <POS> <T> Desired improvement of FQ <E>,"both the firm and the competitor continuously improve the quality of their products in order to keep ahead of one another.  An increase in the Firm’s Quality (FQ) leads to an upwards shift in the competitor’s appreciation of FQ, which in turn leads to a desire for the competitor to generate an improvement in its own quality. After an appropriate time lag, representing the internal workings of the company, this desire to improve quality generates an actual improvement in the Competitor’s Quality (CQ). However, as this improvement in CQ is being realised, a similar chain of events is taking place within the firm, which in turn causes an upward movement in FQ. In both cases the desired improvements in quality are considered to be a function of the difference between the firm’s own quality and its appreciation of its competitor’s quality. However, the lag in generating an actual improvement in quality is considered to be a function of the current level of quality. This implies that it becomes increasingly difficult to improve quality as the overall level of quality becomes higher."
