Student,Filename,Subgraph,Sentence
1,1_budget.csv,<S> <H> Hands on learning <NEG> <T> Dropout rate <H> Budget cuts <POS> <T> Student frustration <H> Budget cuts <POS> <T> Student-teacher ratio <H> Budget cuts <NEG> <T> Test scores <H> Budget cuts <NEG> <T> Athletics <H> Budget cuts <NEG> <T> # of schools <H> Budget cuts <POS> <T> Parent frustration <H> Budget cuts <NEG> <T> Scholarship opportunity <H> Budget cuts <POS> <T> Dropout rate <H> Budget cuts <NEG> <T> # of teachers <H> Budget cuts <POS> <T> Teacher frustration <H> Budget cuts <NEG> <T> Hands on learning <H> Budget cuts <NEG> <T> Technology <H> Athletics <NEG> <T> Student frustration <H> Athletics <NEG> <T> Budget cuts <H> Dropout rate <POS> <T> Parent frustration <H> # of schools <NEG> <T> Dropout rate <H> Dropout rate <POS> <T> Budget cuts <H> Test scores <POS> <T> Budget cuts <H> Athletics <POS> <T> Scholarship opportunity <H> Scholarship opportunity <NEG> <T> Parent frustration <H> Test scores <POS> <T> Technology <H> # of schools <POS> <T> Athletics <H> Athletics <NEG> <T> Parent frustration <H> # of schools <POS> <T> Budget cuts <H> # of schools <NEG> <T> Parent frustration <H> # of schools <POS> <T> Hands on learning <H> Test scores <POS> <T> Athletics <H> Hands on learning <POS> <T> Test scores <H> Test scores <POS> <T> Hands on learning <H> Student frustration <POS> <T> Teacher frustration <H> Teacher frustration <POS> <T> Student frustration <H> Student frustration <POS> <T> Parent frustration <H> Parent frustration <POS> <T> Student frustration <H> # of teachers <NEG> <T> Parent frustration <H> Teacher frustration <NEG> <T> # of teachers <H> Teacher frustration <POS> <T> Parent frustration <H> Teacher frustration <NEG> <T> # of schools <H> Hands on learning <NEG> <T> Parent frustration <H> Technology <NEG> <T> Dropout rate <H> Technology <POS> <T> Scholarship opportunity <H> Scholarship opportunity <POS> <T> Technology <H> Technology <NEG> <T> Student frustration <H> Scholarship opportunity <NEG> <T> Student frustration <H> Student-teacher ratio <POS> <T> Scholarship opportunity <H> Student-teacher ratio <POS> <T> Student frustration <H> Student-teacher ratio <POS> <T> Teacher frustration <H> Test Scores <NEG> <T> Dropout rate <H> Scholarship opportunity <NEG> <T> Dropout rate <H> Student-teacher ratio <NEG> <T> Technology <H> Student-teacher ratio <NEG> <T> Dropout rate <H> Teacher frustration <POS> <T> Dropout rate <H> Dropout rate <POS> <T> Teacher frustration <E>,"Budgets cuts for public schools impede learning and the effectiveness of schools. After these cuts, districts cannot afford to improve technology or athletics in schools. This decreases the amount of hands on learning in the classrooms as it also frustrates students, teachers, and parents. The lack of funds causes many teachers to be fired and raises the student-teacher ratio. This means that kids have less one-on-one time with students and test scores drop. The drop in test scores further lowers the scholarship opportunities for students and raises general frustration and the dropout rates of students. This creates a cycle in which further budget cuts are made each year."
1,2_jobs.csv,<S> <H> Employees available <POS> <T> Layoffs <H> Employees available <NEG> <T> Wage/Salary <H> Employees available <NEG> <T> Benefits <H> Employees available <NEG> <T> Jobs available <H> Employees available <POS> <T> Economic climate <H> Layoffs <NEG> <T> Prices <H> Layoffs <POS> <T> Unemployment <H> Wage/Salary <POS> <T> Job satisfaction <H> Wage/Salary <POS> <T> Prices <H> Benefits <POS> <T> Job satisfaction <H> Jobs available <NEG> <T> Employees available <H> Jobs available <POS> <T> Wage/Salary <H> Jobs available <POS> <T> Benefits <H> Jobs available <POS> <T> Economic climate <H> Jobs available <NEG> <T> Layoffs <H> Jobs available <NEG> <T> Unemployment <H> Economic climate <NEG> <T> Layoffs <H> Economic climate <POS> <T> Wage/Salary <H> Economic climate <POS> <T> Small businesses <H> Prices <NEG> <T> Small businesses <H> Prices <NEG> <T> Education <H> Prices <NEG> <T> Economic climate <H> Unemployment <NEG> <T> Small businesses <H> Job satisfaction <POS> <T> Small businesses <H> Job satisfaction <POS> <T> Economic climate <H> Small businesses <POS> <T> Economic climate <H> Education <POS> <T> Benefits <H> Education <POS> <T> Experience <H> Education <POS> <T> Jobs available <H> Education <POS> <T> Wage/Salary <H> Experience <POS> <T> Education <H> Experience <POS> <T> Benefits <H> Experience <POS> <T> Wage/Salary <E>,"The job market fluctuates and is affected by many things. People are more likely to be hired and satisfied with their jobs if they have education, experience, higher wages/salary, and better benefits. The market itself is affected by the economic climate, layoffs, employees and jobs available, and general prices."
1,1_security.csv,<S> <H> National security <POS> <T> Abuse of power <H> Abuse of power <NEG> <T> National security <H> National security <POS> <T> Safety <H> National security <NEG> <T> Convenience <H> National security <POS> <T> Comfort of people <H> National security <NEG> <T> Terrorism/threats <H> National security <POS> <T> Cost <H> National security <POS> <T> National involvement <H> National security <NEG> <T> Corporate involvement <H> National security <POS> <T> Censorship <H> National security <NEG> <T> Civil rights <H> Abuse of power <NEG> <T> Safety <H> Abuse of power <NEG> <T> Comfort of people <H> Abuse of power <POS> <T> Censorship <H> Safety <POS> <T> Cost <H> Convenience <NEG> <T> Civil rights <H> Convenience <POS> <T> Cost <H> Comfort of people <POS> <T> Cost <H> Terrorism/threats <POS> <T> Cost <H> Terrorism/threats <NEG> <T> Safety <H> Terrorism/threats <POS> <T> Censorship <H> Cost <POS> <T> Convenience <H> National involvement <POS> <T> Censorship <H> National involvement <NEG> <T> Civil rights <H> National involvement <POS> <T> Abuse of power <H> National involvement <POS> <T> Safety <H> National involvement <POS> <T> Comfort of people <H> National involvement <POS> <T> Cost <H> National involvement <NEG> <T> Terrorism/threats <H> Corporate involvement <POS> <T> Censorship <H> Corporate involvement <NEG> <T> Civil rights <H> Corporate involvement <POS> <T> Abuse of power <H> Corporate involvement <POS> <T> Safety <H> Corporate involvement <POS> <T> Comfort of people <H> Corporate involvement <NEG> <T> Terrorism/threats <H> Corporate involvement <POS> <T> Cost <H> Censorship <NEG> <T> Civil rights <H> Censorship <POS> <T> Abuse of power <H> Censorship <NEG> <T> Safety <H> Censorship <NEG> <T> Comfort of people <H> Civil rights <NEG> <T> Censorship <H> Civil rights <NEG> <T> Abuse of power <H> Civil rights <POS> <T> Comfort of people <H> Civil rights <NEG> <T> Safety <E>,"National Security is a complex problem because it involves many people, groups, and lots of overlap. The movement is supposed to ensure the safety and comfort of people but often tends to be inconvenient and may be an abuse of power. This abuse causes a loss of basic civil rights, censorship, a greater cost, and an increased corporate involvement. As a whole, this could lead to increased terrorism threats and the unhappiness of the people. An increased national/ governmental involvement is supposed to increase the safety of the people but to some people, this has merely taken away rights, made lives more complicated, and made it possible to use the people’s fear."
2,2_drugs.csv,<S> <H> Bad morals <POS> <T> Drug Addiction <H> Bad peer influence <POS> <T> Drug Addiction <H> Depression <POS> <T> Drug Addiction <H> Excessive drinking <POS> <T> Drug Addiction <H> Active lifestyle <NEG> <T> Drug Addiction <H> No family reliability <POS> <T> Depression <H> No job <POS> <T> Depression <H> Anxiety <POS> <T> Depression <H> Stress <POS> <T> Depression <H> Stress <POS> <T> Anxiety <H> Anxiety <POS> <T> Stress <H> Normal personal economic standing <NEG> <T> Stress <H> Active lifestyle <NEG> <T> Stress <H> Stress <POS> <T> Excessive drinking <E>,"Anxiety and stress directly relate to each other, and increasing these two factors will lead to depression. No jobs and no family reliability can also lead to depression because one will feel like they have no purpose. Increased depression will lead to drug addiction because of the need to feel some type of “high.”  Stress can also increase excessive drinking which leads to drug addiction. An active lifestyle and normal personal economic standing will decrease stress. Bad morals and bad peer influence can also directly lead to drug addiction."
2,2_media.csv,<S> <H> Publicity <POS> <T> Social media <H> Laziness <POS> <T> Social media <H> Easy communication <POS> <T> Social media <H> Technological advancements <POS> <T> Laziness <H> Free time <POS> <T> Laziness <H> Sporting events <NEG> <T> Laziness <H> Availability <POS> <T> Easy communication <H> Young age <POS> <T> Free time <H> No parental guidance <POS> <T> Free time <H> Advanced school work <NEG> <T> Free time <E>,"There are many factors that contribute to the use of social media. No parental guidance and young age contribute to free time, and free time increases laziness. Increasing technological advancements make it easier to complete tasks which leads to laziness. Laziness directly contributes to social media. Advanced school work decreases the amount of free time, and sporting events decreases levels of laziness, which will ultimately decrease the use of social media. Publicity will directly contribute to social media because everyone wants to keep up with what is new. The availability of one click to learn about everything can also increase easy communication between people, which will increase the use of social media."
2,2_military.csv,<S> <H> Jobs available <POS> <T> Training for police force <H> Training for police force <POS> <T> Military action <H> Save government money (not being used on weapons) <NEG> <T> Military action <H> Allies with countries <NEG> <T> Military action <H> Protection from terrorism <POS> <T> Military action <H> Promotion of violence <POS> <T> Protection from terrorism <H> Enemies with other countries <POS> <T> Military action <H> Controlling of territories <POS> <T> Enemies with other countries <H> Peace treaties made <NEG> <T> Enemies with other countries <H> Enemies with other countries <POS> <T> Promotion of violence <H> Showing dominance <POS> <T> Enemies with other countries <E>,"Many variables contribute to the need for military action. Wanting to control territories increases enemies with other countries. Also, wanting to show dominance and patriotism can increase foreign enemies. An increase of enemies in other countries increases a need for military action. Peace treaties that are made decreases foreign enemies. Foreign enemies do lead to an increase of protection from terrorism. When terrorism is so well known, it promotes violence. These factors increase the need for military action. Available jobs lead to more jobs needed for police training. Many policemen end up serving in the military which promotes military action. Two factors that do not promote military action are the saving of government money and having allies with other countries."
3,3_climate.csv,<S> <H> Global warming <POS> <T> Amount of renewable energy sources used <H> Amount of renewable energy sources used <NEG> <T> Global warming <H> Level of Earth's reflectivity <NEG> <T> Global warming <H> % of Earth covered in ice <POS> <T> Level of Earth's reflectivity <H> Amount of solar energy retained in atmosphere <NEG> <T> % of Earth covered in ice <H> Level of greenhouse gases <POS> <T> Amount of solar energy retained in atmosphere <H> Amount of industrialization <POS> <T> Amount of oil drilled <H> Level of deforestation <POS> <T> Amount of industrialization <H> Amount of industrialization <POS> <T> Level of deforestation <H> Amount of industrialization <POS> <T> Population density <H> Amount of industrialization <POS> <T> Amount of renewable energy sources used <H> Amount of oil drilled <POS> <T> Level of fossil fuels burned <H> Amount of renewable energy sources used <NEG> <T> Level of fossil fuels burned <H> Level of fossil fuels burned <POS> <T> Level of greenhouse gases <H> Population density <POS> <T> Amount of landfill waste <H> Population density <POS> <T> Amount of domestic livestock <H> Amount of domestic livestock <POS> <T> Level of greenhouse gases <H> Amount of landfill waste <POS> <T> Level of greenhouse gases <E>,"Climate change is one of the most concerning issues in the world today.  One of its primary drivers happens to be population density.  This is because the more people that there are in the world, the more domestic livestock will be needed to support them, and the people will create more waste overall.  As landfills fill up, the garbage will decompose, contributing to the amount of greenhouse gases that enter the atmosphere.  Methane from the domesticated livestock will also increase the level of greenhouse gases.  The more greenhouse gases there are, the more solar radiation will be retained in the atmosphere, which will melt glaciers and decrease Earth’s reflectivity.  The more reflective the Earth is, the less global warming there will be because solar radiation will bounce back into space.  As global warming continues to be an issue, more people choose to utilize renewable energy sources to slow down the process.  The renewable energy sources also will decrease the amount of fossil fuels burned.  This is very beneficial because burning more fossil fuels leads to more greenhouse gas emissions.  Deforestation and industrialization positively impact each other.  In addition, industrialization leads to more densely populated cities, the ability to make and use more renewable energy sources and contributes to the amount of oil drilled.  Because oil is a fossil fuel, it ties back to the amount of fossil fuels that are burned for energy.  All of these factors make climate change a complex problem."
3,3_measles.csv,<S> <H> # of people w/ health insurance <NEG> <T> # of anti-vaccine groups <H> # of people w/ health insurance <POS> <T> Cost of vaccine <H> # of anti-vaccine groups <POS> <T> % of unvaccinated persons <H> # of anti-vaccine groups <POS> <T> # of exemptions allowed by state law <H> # of exemptions allowed by state law <POS> <T> % of unvaccinated persons <H> % of unvaccinated persons <POS> <T> # of infected people <H> # of clinics offering vaccinations <NEG> <T> % of unvaccinated persons <H> Population density <POS> <T> # of infected people <H> # of refugee camps <POS> <T> Population density <H> Amount of natural disasters & armed conflicts <POS> <T> # of refugee camps <H> Amount of natural disasters & armed conflicts <NEG> <T> Amount of travel <H> Amount of travel <POS> <T> # of infected people <H> Amount of natural disasters & armed conflicts <NEG> <T> # of clinics offering vaccinations <H> Amount of natural disasters & armed conflicts <POS> <T> # of countries w/ endemic measles <H> # of countries w/ endemic measles <NEG> <T> Amount of travel <H> # of clinics offering vaccinations <NEG> <T> # of countries w/ endemic measles <H> Cost of vaccine <NEG> <T> # of clinics offering vaccinations <H> # of people w/ health insurance <NEG> <T> % of unvaccinated persons <E>,"The core issue of the measles outbreak is the percent of unvaccinated persons.  This is because more unvaccinated people means that more people are susceptible to being infected with the disease.  The percent of unvaccinated person is affected by a number of factors.  The number of people with health insurance will decrease the amount of people who have not received the measles vaccine.  More people with health insurance will also decrease the amount of anti-vaccine groups.  Anti-vaccine groups cause a higher percentage of the population to not be vaccinated.  In addition, pressure by these groups on the government causes more exemptions from vaccination by state law, which further increases the amount of unvaccinated people.  On the other hand, in relation to the vaccine, more people who purchase health insurance will decrease the cost of the vaccine.  This is very beneficial as there are usually less clinics offering vaccinations when the vaccine’s cost is higher.  More clinics offering the vaccine will cause less people to not be vaccinated and will further reduce the number of countries with endemic measles.  These countries that have measles outbreaks typically lower levels of tourism.  A lot of the problem of measles spreading is due to travel so more infected people result from increased amounts of travel.  A lot of the problems can be seen to stem from the amount of natural disasters and armed conflicts in countries as well.  These more of these issues that exist, there are less clinics offering vaccination, more countries with endemic measles, less travel, and more refugee camps overall.  More refugees lead to higher population density which further facilitates the spread of measles.  Thus, the measles outbreak can be seen to be a complex issue with many feedback loops."
3,3_opioids.csv,<S> <H> # of leftover opioid pills in household <POS> <T> Amount of opioids shared <H> Amount of opioids shared <POS> <T> # of people addicted to opioids <H> # of people addicted to opioids <POS> <T> Amount of illegal opioids brought into U.S. <H> Amount of illegal opioids brought into U.S. <POS> <T> # of people addicted to opioids <H> # of people addicted to opioids <POS> <T> # of opioid overdoses <H> Amount of illegal opioids brought into U.S. <POS> <T> # of state laws related to prescribing opioids <H> # of opioid overdoses <POS> <T> # of state laws related to prescribing opioids <H> # of state laws related to prescribing opioids <NEG> <T> # of opioid prescriptions written by doctors <H> # of opioid prescriptions written by doctors <POS> <T> # of people dependent on opioids <H> # of people dependent on opioids <POS> <T> # of opioid prescriptions written by doctors <H> Level of marketing by opioid producers <POS> <T> # of opioid prescriptions written by doctors <H> Level of marketing by opioid producers <NEG> <T> # of state laws related to prescribing opioids <H> # of opioid prescriptions written by doctors <POS> <T> # of leftover opioid pills in household <H> # of people w/ physical trauma <POS> <T> # of opioid prescriptions written by doctors <H> # of people dependent on opioids <POS> <T> Level of marketing by opioid producers <H> # of opioid prescriptions written by doctors <POS> <T> # of opioid takeback locations <H> # of opioid takeback locations <NEG> <T> Amount of opioids shared <H> # of opioid takeback locations <NEG> <T> # of leftover opioid pills in household <E>,"One complex problem that exists is the opioid epidemic.  One of the major reasons it is a problem is due to the amount of marketing to doctors to write prescriptions.  More opioid marketing both increases the amount of prescriptions written by doctors and also decreases the number of state laws related to prescriptions due to lobbying.  More stringent regulation on prescribing opioids means less prescriptions given by doctors overall.  As more opioids are prescribed, more patients will be dependent on them and will seek more future prescriptions.  In addition, patients experiencing physical trauma will contribute to prescriptions.  Consequently, the number of dependent people will also increase marketing for the drugs.  More prescriptions will also mean both more leftover opioid pills in households and more opioid takeback locations to promote the safe disposal of extra drugs.  While more leftover pills contribute to more opioid sharing, more takeback locations will decrease the number of drugs shared.  Unfortunately, the more that opioids are shared, the more people that will be addicted to them and the more people who may overdose.  More addiction also means more illegal opioids brought into the country which will further contribute to addiction.  The two problems of overdose and illegal drug trafficking will then promote more legislation on the number of opioids that can be prescribed.  Because there are so many factors to the opioid epidemic, it can be seen as complex."
4,4_mars.csv,<S> <H> Colonizing Mars <POS> <T> Future population rates <H> Colonizing Mars <NEG> <T> Use of natural resources <H> Colonizing Mars <POS> <T> Employment rates <H> Use of natural resources <POS> <T> Fuel consumption <H> Use of natural resources <NEG> <T> Environment quality <H> Fuel consumption <NEG> <T> Environment quality <H> Environment quality <POS> <T> Amount of national debt <H> Amount of national debt <POS> <T> Government insecurity <H> Tax levels <POS> <T> Amount of national debt <H> Government insecurity <POS> <T> Working environment risk for workers <H> Working environment risk for workers <NEG> <T> Employment rates <H> Working environment risk for workers <POS> <T> Mental sanity risks <H> Employment rates <NEG> <T> Tax levels <E>,"The second situation I analyzed was the possibility of colonizing Mars. The process of this would require a lot of natural resources so this will initially have a negative impact on the environment. This will increase fuel consumption which also will negatively influence the quality of the environment. This will increase the amount of national debt because more efforts would be made to restore the environment. This debt would lead into increased government insecurity which will also increase working environment risks for all the workers and will increase mental sanity risks as well. However, the lack of safety in working environments will decrease employment rates. This has an opposite relationship with colonizing mars because this would increase employment rates which will increase the amount of taxes which can then be used to alleviate some of the national debt. Overall, if we colonize mars, this could increase future population rates."
