Subgraph,Sentence
<S> <H> Substance abuse <NEG> <T> Ability to protect self <E>,Substance abuse negates the ability for a person to protect themselves.
<S> <H> Shame <POS> <T> Psychological pain <E>,Shame can cause psychological pain.
<S> <H> Psychological pain <POS> <T> Mental health disorders <E>,Psychological pain can potentially cause mental health disorders.
<S> <H> Mental health disorders <POS> <T> Child risk factors <H> Child risk factors <POS> <T> ACEs <E>,"Mental health disorders increase a child's risk factor, which can lead to more ACEs."
<S> <H> Invalidation <POS> <T> Psychological pain <E>,Invalidation can be a contributor to psychological pain.
<S> <H> Trauma history <POS> <T> Suicide attempt <H> Suicide attempt <POS> <T> Parental frustration <E>,"If a victim has a history of trauma, they are more likely to attempt suicide, which can be frustrating for parents."
<S> <H> Cumulative trauma <NEG> <T> Coping skills/resiliency <H> Coping skills/resiliency <NEG> <T> (Unhealthy) coping strategies <E>,"Cumulative trauma negatively impacts coping skills and resiliency, which can lead to unhealthy coping strategies."
<S> <H> Suicide attempt <POS> <T> Parental frustration <H> Parental frustration <POS> <T> ACEs <E>,"An increase in suicide attempts can also increase parental frustration, which could lead to more ACEs."
<S> <H> ACEs <POS> <T> (Unhealthy) coping strategies <H> (Unhealthy) coping strategies <POS> <T> Substance abuse <E>,"An increase in ACEs can cause unhealthy coping strategies, which can lead to substance abuse."
<S> <H> Traumatic experience of the ACE <POS> <T> Cumulative trauma <H> Cumulative trauma <NEG> <T> Coping skills/resiliency <E>,"A traumatic experience of the ACE increases cumulative trauma, which negates resilience and coping skills."
<S> <H> Suicide ideation <POS> <T> Mental health disorders <H> Mental health disorders <POS> <T> Child risk factors <E>,"A rise in suicide ideation can lead to mental health disorders, which also increases child's risk factors."
<S> <H> Re-attempt <POS> <T> Suicide attempt <H> Suicide attempt <POS> <T> Parental frustration <E>,"A re-attempt of suicide will eventually lead to the actual suicide attempt, which can be frustrating for parents."
<S> <H> Internalized response to trauma <POS> <T> Cumulative trauma <E>,A person's internalized response to trauma is a part of their cumulative trauma.
