Filename,Subgraph,Sentence
Participant 1.edges.csv,<S> <H> human intervention <NEG> <T> lake <E>,"Human intervention has resulted in changes that are having a detrimental effect on the lake. Reconsider the changes humans have made there, including dams, water diversion, and agriculture."
Participant 10.edges.csv,<S> <H> global warming <NEG> <T> lake <H> population <NEG> <T> lake <H> dams <NEG> <T> lake <H> pipe transfer projects <POS> <T> lake <H> precipitation <POS> <T> lake <E>,"Increasing the population around the lake, constructing multiple dams, and pipe transfer projects drained the water from the Lake Urmia. Also, I think global warming and getting less and less precipitation over time is another cause for this issue. I think feeding this lake from another water resources instead of draining its water may solve the problem temporarily!"
Participant 11.edges.csv,<S> <H> deforestation <NEG> <T> animals <H> dam <NEG> <T> lake <H> lake drying up <NEG> <T> lake <H> government channeling water from feeders of the lake <POS> <T> lake drying up <H> lake <POS> <T> microorganism <E>,"One of the main reasons why the lake is suffering is due to the fact that the government channels water from one of the main feeders. This created an increase in the rate the lake dried up, which creates a decrease in microorganisms. Also, deforestation creates a significant decrease in the annual animal migrating population. The main solution to this issue is to allow Lake Urmia's main water feeder to exclusively flow back into to lake to prevent any future lake evaporation. In addition, discontinuing any future dam construction and water transfer projects can contribute to an increase in the life of the lake."
Participant 12.edges.csv,<S> <H> channel water away from lake <POS> <T> agriculture of forestry <H> mismanagement <NEG> <T> lake <H> channel water to the lake <POS> <T> lake <H> growth <NEG> <T> lake <H> channel water away from lake <NEG> <T> lake <E>,"It seems that the officials' position that the the destruction of the lake is due to drought is incorrect. The destruction of the lake was from 1972 to 2014, not ""recent years"". Rapid growth and mismanagement have cascaded against the life of the lake. It seems like government officials didn't consider the long-term effects of their actions. The $5 million to save the lake is probably a good start, but that's too vague. It's a difficult problem because you don't want to channel too much water away from the large cities because other lives are then at risk. Relocating people is certainly not an elegant solution because they didn't put themselves in this unfortunate situation and that also doesn't protect the environment and ecosystem of Lake Urmia. It only secures the lives of the people. They'd have to figure out a way to channel water to the lake, but based on this passage, I don't see how it could be done."
Participant 13.edges.csv,<S> <H> subverting water <NEG> <T> lake <H> less controlled water <NEG> <T> lake <H> climate change (drought) <NEG> <T> lake <H> deforestation <POS> <T> less controlled water <H> population <POS> <T> subverting water <E>,"The shrinkage of Lake Urmia is likely to due multiple factors.  The problems could be partially due to climate changes (e.g. drought) as suggested by officials, but based on the evidence outlined in this passage there is also most likely a significant human-imposed component related to subverting water from the Zarineh River to support the growing population, as well as the reduction of forests covering Zagros Mountain -- forests that helped to maintain the controlled water flow to rivers feeding the lake.  Firstly, policy makers need to be informed of the true cause of the problem.  Studies are needed to provide more conclusive evidence about the human behaviors that truly did or did not contribute to the shrinkage of the lake.  Once scientific evidence is collected and analyzed, it can be shared with the community, and scientists should (hopefully) be able to use the data collected to point to the causes and offer suggestions on specific actions that can be taken to reverse or at least slow the damage.  Tradeoffs will be inevitable and debate may continue, but presenting conclusive scientific evidence is the first step toward coming up with a potential solution to the problem.  Until this step is taken, it just will continue to be a debate between government officials and critics within the community. "
Participant 14.edges.csv,<S> <H> agricultural activities <NEG> <T> forest <H> people <NEG> <T> forest <H> agricultural activities <NEG> <T> lake <H> ecological condition <NEG> <T> lake <H> people <NEG> <T> lake <H> feeding source <POS> <T> lake <E>,"There are multiple reasons why the lake suffered the fate it did. Not only did the population increase in the area causing additional burden on the lake, but also there was an increase in agricultural activities increasing burden further on the water body. That coupled with the fact that it's main feeding source was channeled elsewhere and change in ecological conditions also contributed to the lake's decrease in water content. We need to strike a balance between what the lake can provide and what we can consume. It is clear that we are using up more water than what can be replenished naturally. First we need to ensure the lake the sources that feed the lake is not starved. Which means we need to reduce the burden on Zarineh to feed the lake and the city. We alse need to ensure the forests of Zagros aren't depleted further and check  activities of man such as agriculture and population growth. "
Participant 15.edges.csv,<S> <H> population <POS> <T> demand for water <H> climate change <POS> <T> evaporation <H> region dryness <NEG> <T> lake <H> climate change <POS> <T> region dryness <H> water management <NEG> <T> region dryness <E>,"The problem seems to be a combination of climate change and water management. Since the region becomes drier as the amount of water decreases, the total amount of water will continue to deplete as the climate promotes faster evaporation. Since the population has increased over the years, the demand for water has increased. Considering the water into the lake has been redirected to meet the demand, the evaporated water is not being replaced at an adequate rate. Limiting the amount of water drawn from the sources would be a way to see if there is a significant difference in evaporation. Allow the water to flow back into the lake rather than drawing large amounts from the inflow. Destroying dams is likely too extreme and expensive. Pumping water in alone likely won't help since the inflows are restricted, so the new water will gradually evaporate anyway."
Participant 16.edges.csv,<S> <H> find other areas to plant food <NEG> <T> amount of water used by farmers <H> restrictions <NEG> <T> amount of water used by farmers <H> replant areas of the forest <NEG> <T> amount of water used by farmers <H> need for water <POS> <T> dry climate <H> plants <POS> <T> need for water <H> dry climate <POS> <T> need for water <E>,"Hard to say with the limited information. I would start by graphing the water levels over time to see if any trends appear and from there, try and correlate those trends with any policy decisions that were made. You could look at surrounding lakes to see if they suffered the same fate. If they did, the cause may be the drought, but if it is just this lake that is drying up, it may be hard to claim the drought is the causal agent. Talk with environmental experts and see if any solutions worked in the past. Lessen the amount of water used by farmers through restrictions, replant areas of the forrest, find other areas to plant food as a positive feedback loop exists where more plants need more water, which leads to a drier climate, which leads to the plants needing more water. This is just one of the loops that needs to be ended. "
Participant 17.edges.csv,<S> <H> lawmakers <POS> <T> funds <H> charities <POS> <T> funds <H> tree cover <POS> <T> lake <H> use of water for other purposes <NEG> <T> lake <H> agriculture <NEG> <T> lake <H> population growth <POS> <T> lake <E>,"It seems as though the lake's issues stem from a variety of problems, which in concert have caused the lake to shrink. These issues include, population growth, less tree cover, more agriculture, use of its water for other purposes, etc. Ultimately, multiple things must be done to fix these problems. Firstly, the mismanagement of water resources must be investigated and dealt with. Secondly, efforts to restore the ecosystem around the lake to its natural state must be enacted (allowing forests to fill back in, etc.). To make these changes lawmakers and charities will need to gather funds and lawmakers specifically will need to address policies currently in place. "
Participant 18.edges.csv,<S> <H> job variety <NEG> <T> agricultural activity <H> drought <POS> <T> evaporation <H> evaporation <POS> <T> outflow <H> relocate population <POS> <T> save lake <H> raining <POS> <T> water inflow <H> damn construction <NEG> <T> water inflow <H> pipe transfer <POS> <T> water inflow <E>,"In short, the outflow of the lake was much higher than the inflow of the lake in the past 44 years. The factors affect the inflow of the water is raining, dam construction and pipe transfer which apparently all of the mentioned factors decreased. Furthermore, the outflow of the lake includes evaporation which increased because of having more drought environment. The situation should be modeled, and different policies should be checked. The number of dams and also the pipelines that use the water for the agricultural purpose should reduce. The possibility of my proposed method depends on the more broader factors. For example, it might be possible that the government should create different jobs for the Urumia local people to convince them to reduce their agricultural activity. Also, the other option is that the government might have to relocate part of the population to save the lake."
